['x', 'x', 'x', 'x', 'k', 'x', 'e', 'd', 'x', 'x', 'x', 'x', 'p', 'x', 'o', 'x', 'x', 'x', 'x'] 4
['x', 'x', 'x', 'x', 'k', 'x', 'd', 'd', 'x', 'x', 'i', 'x', 'p', 'x', 'i', 'e', 'x', 'x', 'r'] 22
['x', 'x', 'x', 'x', 'o', 'a', 'd', 'a', 'r', 'x', 'i', 'x', 'p', 'x', 'i', 'e', 'x', 's', 'r'] 115
['t', 'x', 'n', 'x', 'o', 'a', 'd', 'a', 'r', 'x', 'i', 'x', 'e', 'n', 'i', 'd', 'x', 's', 'r'] 245
['t', 'u', 'n', 'x', 'o', 'a', 'd', 'a', 'r', 'x', 'e', 't', 'e', 'u', 'i', 'd', 'x', 's', 'r'] 309
['s', 'u', 'n', 'x', 'o', 'i', 'd', 'a', 'r', 'r', 'e', 't', 'e', 'u', 'i', 't', 'e', 's', 'r'] 476
['s', 'u', 'n', 'k', 'o', 'n', 'd', 'a', 'e', 'r', 'e', 't', 'e', 'u', 'i', 't', 'e', 's', 'p'] 651
['s', 'u', 'n', 'k', 'o', 'e', 'd', 'a', 'e', 'r', 's', 't', 'h', 'r', 'i', 't', 'e', 's', 'p'] 685
['s', 'u', 'n', 'k', 'o', 'e', 'd', 'a', 'a', 'r', 's', 't', 't', 'y', 'i', 't', 'e', 's', 'd'] 856
['e', 'u', 'n', 'k', 'o', 'e', 'd', 'a', 'a', 'r', 's', 'e', 't', 'e', 'i', 't', 'e', 's', 'd'] 973
['e', 's', 'n', 'h', 'o', 'e', 'd', 'a', 'a', 'r', 's', 'e', 't', 'e', 'i', 't', 'a', 's', 'd'] 1194
['e', 's', 'o', 'h', 'o', 'u', 'd', 'p', 'a', 'r', 's', 'e', 't', 'e', 'i', 't', 'm', 's', 'd'] 1370
['x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'e', 'e'] 2
['x', 'x', 'x', 'x', 'x', 'h', 'u', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'e', 'e'] 6
['x', 'x', 'x', 'x', 'x', 'h', 'u', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'e', 'o'] 10
['x', 'f', 'e', 'x', 'x', 'h', 'u', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'e', 'o'] 25
['x', 'f', 'e', 'x', 'x', 'h', 'u', 'x', 'x', 'x', 'x', 'n', 'a', 'x', 'x', 'x', 'x', 'e', 'o'] 37
['f', 'f', 'e', 'x', 'x', 'h', 'u', 'x', 'x', 'x', 'x', 'n', 'a', 'x', 'x', 'x', 'x', 'e', 'y'] 38
['f', 'f', 'e', 't', 's', 'h', 'u', 'x', 'x', 'x', 'x', 'n', 'a', 'x', 'x', 'x', 'x', 'e', 'y'] 58
['f', 'f', 'e', 't', 's', 'h', 'u', 'x', 'x', 'x', 'x', 'n', 'a', 'x', 'x', 'u', 'a', 'e', 'y'] 65
['f', 'f', 'e', 't', 's', 'h', 'u', 'o', 'e', 'x', 'x', 'n', 'a', 'x', 'x', 'u', 'a', 'e', 'y'] 116
['f', 'f', 'e', 't', 's', 'h', 'u', 'o', 'e', 'x', 'x', 'n', 'a', 'x', 'u', 't', 'a', 'e', 'y'] 138
['f', 'f', 'e', 't', 's', 'h', 'u', 'o', 'e', 'x', 'x', 'n', 'a', 'x', 'u', 'e', 'm', 'e', 'y'] 165
['f', 'f', 'e', 't', 's', 'h', 'u', 'o', 'e', 'x', 'x', 'n', 'a', 'x', 'o', 'e', 'm', 'e', 'y'] 184
['f', 'f', 'e', 't', 's', 'h', 'u', 'o', 'e', 's', 'x', 'n', 'a', 'x', 'o', 'e', 'm', 'e', 'y'] 208
['f', 'f', 'e', 't', 's', 'h', 'u', 'o', 'e', 't', 'f', 'n', 'a', 'x', 'o', 'e', 'm', 'e', 'y'] 278
['f', 'f', 'e', 't', 's', 'h', 'u', 'o', 'e', 't', 'f', 'f', 'r', 'x', 'o', 'e', 'm', 'e', 'y'] 297
['f', 'f', 'e', 't', 's', 'h', 'u', 'o', 'e', 'n', 't', 'f', 'r', 'x', 'o', 'e', 'm', 'e', 'y'] 382
['f', 'f', 'e', 't', 's', 'h', 'u', 'o', 'e', 'n', 't', 'f', 'r', 'n', 's', 'e', 'm', 'e', 'y'] 455
['s', 's', 'e', 't', 's', 'h', 'u', 'o', 'e', 'n', 't', 'f', 'r', 'n', 's', 'e', 'm', 'e', 'y'] 479
['s', 's', 'e', 't', 's', 'h', 'u', 'o', 'e', 'n', 't', 'f', 'r', 'e', 'o', 'e', 'm', 'e', 'y'] 537
['s', 's', 'e', 't', 's', 'h', 'u', 'o', 'e', 'n', 't', 'f', 's', 'o', 'o', 'e', 'm', 'e', 'y'] 549
['s', 't', 'o', 't', 's', 'h', 'u', 'o', 'e', 'n', 't', 'f', 's', 'o', 'o', 'e', 'm', 'e', 'y'] 572
['s', 't', 'o', 't', 's', 'h', 'e', 'i', 'e', 'n', 't', 'f', 's', 'o', 'o', 'e', 'm', 'e', 'y'] 623
['s', 't', 'o', 't', 's', 'h', 'e', 'i', 'e', 'n', 't', 'f', 's', 'o', 'o', 'e', 'm', 's', 'a'] 641
['s', 't', 'o', 't', 's', 'h', 'e', 'i', 'e', 'n', 't', 'f', 's', 'o', 'o', 'e', 'm', 'r', 's'] 864
['s', 't', 'o', 't', 's', 'h', 'r', 'i', 'e', 'n', 't', 'f', 's', 'o', 'o', 'e', 'm', 'r', 's'] 878
['s', 't', 'o', 't', 's', 'h', 'a', 'r', 'e', 'n', 't', 'f', 's', 'o', 'o', 'e', 'm', 'r', 's'] 999
['s', 't', 'o', 't', 'a', 'e', 'a', 'r', 'e', 'n', 't', 'f', 's', 'o', 'o', 'e', 'm', 'r', 's'] 1015
['s', 't', 'o', 't', 'a', 'r', 'i', 'r', 'e', 'n', 't', 'f', 's', 'o', 'o', 'e', 'm', 'r', 's'] 1218
['s', 't', 'o', 't', 'a', 'r', 'i', 'r', 'e', 'd', 'e', 'f', 's', 'o', 'o', 'e', 'm', 'r', 's'] 1384
['s', 't', 'o', 't', 'a', 'r', 'i', 'r', 'e', 'd', 'e', 'f', 's', 'u', 's', 'e', 'm', 'r', 's'] 1474
['s', 't', 'o', 't', 'a', 'r', 'i', 'r', 'e', 'd', 'e', 'f', 's', 'u', 's', 'e', 'm', 't', 'l'] 1559
['s', 't', 'o', 't', 'a', 'r', 'i', 'r', 'e', 'd', 'e', 't', 's', 'u', 's', 'e', 'm', 't', 'l'] 1616
['s', 't', 'o', 't', 'a', 'r', 'i', 'r', 'e', 'd', 'e', 't', 'l', 'i', 's', 'e', 'm', 't', 'l'] 1666
['s', 't', 'o', 't', 'a', 'r', 'i', 'r', 'e', 'd', 'e', 't', 'l', 'i', 's', 'e', 'm', 't', 'r'] 1724
['s', 't', 'o', 't', 'a', 'r', 'i', 'r', 'e', 'd', 'e', 't', 'l', 'i', 's', 'e', 'r', 't', 'r'] 1754
['s', 't', 'o', 't', 'a', 'r', 'i', 's', 'e', 'd', 'e', 't', 'l', 'i', 's', 'e', 'r', 't', 'r'] 1911
['s', 'e', 'p', 't', 'a', 'r', 'i', 's', 'e', 'd', 'e', 't', 'l', 'i', 's', 'e', 'r', 't', 'r'] 1924
['s', 'h', 't', 't', 'a', 'r', 'i', 's', 'e', 'd', 'e', 't', 'l', 'i', 's', 'e', 'r', 't', 'r'] 1947
['s', 'h', 't', 't', 'a', 'r', 'i', 's', 'e', 'd', 'e', 'n', 'r', 'i', 's', 'e', 'r', 't', 'r'] 2012
['n', 'h', 't', 't', 'a', 'r', 'i', 's', 'e', 'd', 'e', 'n', 'r', 'i', 's', 'e', 'r', 't', 'v'] 1736
['n', 'h', 't', 't', 'a', 'r', 'i', 's', 'e', 'd', 'e', 'n', 'r', 'i', 's', 'e', 'e', 't', 'v'] 1752
['i', 'h', 't', 't', 'a', 'r', 'i', 's', 'e', 'd', 'e', 'n', 'r', 'i', 's', 'e', 'e', 't', 't'] 1764
['s', 'h', 't', 't', 'a', 'r', 'i', 's', 'e', 'd', 'e', 'n', 'r', 'i', 's', 'e', 'a', 't', 'r'] 2164
['s', 'h', 't', 't', 'a', 'r', 'i', 's', 'e', 'd', 'e', 'n', 'r', 'i', 's', 'e', 'a', 't', 't'] 2199
['e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 't'] 5
['e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'a', 'h', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 't'] 21
['e', 'e', 'e', 'e', 'a', 'b', 's', 'e', 'a', 'h', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 't'] 76
['e', 'e', 'e', 'e', 'a', 'b', 'n', 'i', 'u', 'h', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 't'] 81
['e', 't', 'i', 'e', 'a', 'b', 'n', 'i', 'u', 'h', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 't'] 166
